月份,制造业-指数,制造业-同比增长,非制造业-指数,非制造业-同比增长
,53.2,2.30769231,55.4,-3.48432056
,53.1,-0.37523452,54.9,-4.3554007
,53.5,-9.62837838,53.5,-8.39041096
,52.4,-10.2739726,54.4,-7.64006791
,49.0,-8.23970037,55.1,-7.08263069
,45.3,-14.52830189,53.7,-10.79734219
,41.2,-25.49728752,50.8,-15.61461794
,38.8,-29.96389892,51.2,-15.51155116
,44.6,-16.16541353,53.1,-13.51791531
,51.2,-8.73440285,55.0,-11.14701131
,48.4,-10.37037037,52.9,-14.26256078
,48.4,-9.19324578,55.7,-6.22895623
,52.0,-4.58715596,57.4,-4.33333333
,53.3,-4.30879713,57.4,-7.7170418
,59.2,1.02389078,58.4,-3.31125828
,58.4,4.09982175,58.9,1.20274914
,53.4,0.56497175,59.3,-2.14521452
,53.0,-3.81125227,60.2,-0.33112583
